=== S4.2 SCAN (stcp-cross-platform-001 / p0-07) ===
Path     : E:\My Github Projects\SystemTools\Actions
Scope    : Source
Time(UTC): 2026-09-03T15:59:43Z
[HIT-GATE] AdjustScreenBrightnessAction.cs | R07 | :5: | using System.Management;
[INFO] AdjustScreenBrightnessAction.cs | I05 | :75: | var scope = new ManagementScope(@"\\.\root\wmi");
[INFO] AdjustScreenBrightnessAction.cs | I05 | :79: | using var searcher = new ManagementObjectSearcher(scope, query);
[HIT-GATE] AdvancedShutdownAction.cs | R15 | :165: | FileName = "cmd.exe",
[HIT-GATE] AdvancedShutdownAction.cs | R21 | :207: | FileName = "shutdown",
[HIT-GATE] AdvancedShutdownAction.cs | R21 | :395: | FileName = "shutdown",
[HIT-GATE] AltF4Action.cs | R01 | :7: | using Windows.Win32;
[HIT-GATE] AltF4Action.cs | R02 | :26: | PInvoke.keybd_event(VK_MENU, 0, 0, UIntPtr.Zero);
[INFO] AltF4Action.cs | I01 | :26: | PInvoke.keybd_event(VK_MENU, 0, 0, UIntPtr.Zero);
[HIT-GATE] AltF4Action.cs | R02 | :30: | PInvoke.keybd_event(VK_F4, 0, 0, UIntPtr.Zero);
[INFO] AltF4Action.cs | I01 | :30: | PInvoke.keybd_event(VK_F4, 0, 0, UIntPtr.Zero);
[HIT-GATE] AltF4Action.cs | R02 | :34: | PInvoke.keybd_event(VK_F4, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] AltF4Action.cs | I01 | :34: | PInvoke.keybd_event(VK_F4, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] AltF4Action.cs | R02 | :39: | PInvoke.keybd_event(VK_MENU, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] AltF4Action.cs | I01 | :39: | PInvoke.keybd_event(VK_MENU, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] AltTabAction.cs | R01 | :7: | using Windows.Win32;
[HIT-GATE] AltTabAction.cs | R02 | :26: | PInvoke.keybd_event(VK_MENU, 0, 0, UIntPtr.Zero);
