| Actions\ActionFlowExecutionConfirmationAction.cs | 0 | 0 | — | — | PASS |
| Actions\AdvancedShutdownAction.cs | 0 | 0 | — | — | PASS |
| Actions\AutoHideMainWindowWhenOccludedAction.cs | 0 | 0 | — | — | PASS |
| Actions\AutoSwitchClassIslandThemeAction.cs | 0 | 0 | — | — | PASS |
| Actions\BackgroundPlayAudioAction.cs | 0 | 0 | — | — | PASS |
| Actions\CancelShutdownAction.cs | 0 | 0 | — | — | PASS |
| Actions\ClearAllNotificationsAction.cs | 0 | 0 | — | — | PASS |
| Actions\CopyAction.cs | 0 | 0 | — | — | PASS |
| Actions\DeleteAction.cs | 0 | 0 | — | — | PASS |
| Actions\FullscreenClockAction.cs | 0 | 0 | — | — | PASS |
| Actions\ImmediateRestartAction.cs | 0 | 0 | — | — | PASS |
| Actions\ImmediateShutdownAction.cs | 0 | 0 | — | — | PASS |
| Actions\KillProcessAction.cs | 0 | 0 | — | — | PASS |
| Actions\LoadTemporaryClassPlanAction.cs | 0 | 0 | — | — | PASS |
| Actions\LockScreenAction.cs | 0 | 0 | — | — | PASS |
| Actions\MoveAction.cs | 0 | 0 | — | — | PASS |
| Actions\OpenAppSettingsAction.cs | 0 | 0 | — | — | PASS |
| Actions\OpenClassSwapWindowAction.cs | 0 | 0 | — | — | PASS |
| Actions\OpenProfileEditorAction.cs | 0 | 0 | — | — | PASS |
| Actions\ShowAiChatDialogAction.cs | 0 | 0 | — | — | PASS |
| Actions\ShowFloatingWindowAction.cs | 0 | 0 | — | — | PASS |
| Actions\ShowToastAction.cs | 0 | 0 | — | — | PASS |
| Actions\ShutdownAction.cs | 0 | 0 | — | — | PASS |
| Actions\SleepAction.cs | 0 | 0 | — | — | PASS |
| Actions\SwitchFloatingWindowThemeAction.cs | 0 | 0 | — | — | PASS |
| Actions\SystemPowerCommandStub.cs | 0 | 0 | — | — | PASS |
| Actions\SystemPowerCommandWindows.cs | 0 | **8**（R21 :48，R17 :50，R21 :56，R21 :60，R21 :64，R21 :68，R17 :72，R17 :77） | — | — | PASS |
| Actions\ToggleFloatingWindowLayerAction.cs | 0 | 0 | — | — | PASS |
| Actions\ToggleFloatingWindowProfileAction.cs | 0 | 0 | — | — | PASS |
| Actions\ToggleWorkflowAction.cs | 0 | 0 | — | — | PASS |
| Actions\TriggerCustomTriggerAction.cs | 0 | 0 | — | — | PASS |
| Config\ActionInProgressTriggerConfig.cs | 0 | 0 | — | — | PASS |
| Config\FloatingWindowTriggerConfig.cs | 0 | 0 | — | — | PASS |
| ConfigHandlers\ButtonRulesetConfig.cs | 0 | 0 | — | — | PASS |
| ConfigHandlers\FloatingWindowProfile.cs | 0 | 0 | — | — | PASS |
| ConfigHandlers\FloatingWindowProfileManager.cs | 0 | 0 | — | — | PASS |
| ConfigHandlers\MainConfigData.cs | 0 | 0 | — | — | PASS |
| ConfigHandlers\MainConfigHandler.cs | 0 | 0 | — | — | PASS |
| ConfigHandlers\RowRulesetConfig.cs | 0 | 0 | — | — | PASS |
| Controls\ActionFlowExecutionConfirmationSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\AdvancedShutdownSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\AiAttachmentDropConfirmation.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\AiAttachmentDropOverlay.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\AutoHideMainWindowWhenOccludedActionSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\AutoSwitchClassIslandThemeActionSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\BackgroundPlayAudioSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\Components\BetterCarouselContainerComponent.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\BetterCarouselContainerSettingsControl.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\ClipboardContentComponent.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\ClipboardContentSettingsControl.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\LocalQuoteComponent.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\LocalQuoteSettingsControl.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\NetworkStatusComponent.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\NetworkStatusSettingsControl.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\NextClassDisplayComponent.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\NextClassDisplaySettingsControl.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\ScrollingTextComponent.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\Components\ScrollingTextSettingsControl.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\CopySettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\DeleteSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\FullscreenClockSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\InTimePeriodRuleSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\KillProcessSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\LoadTemporaryClassPlanSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\MoveSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\Notifications\AiReplyNotificationContent.axaml.cs | 0 | 0 | — | — | PASS |
| Controls\ProcessRunningRuleSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\ShortcutKeyNotificationSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\ShowFloatingWindowSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\ShowToastSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\ShutdownSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\SwitchFloatingWindowThemeSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\ToggleFloatingWindowLayerSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\ToggleFloatingWindowProfileSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\ToggleWorkflowSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\TriggerCustomTriggerSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\UsingClassPlanRuleSettingsControl.cs | 0 | 0 | — | — | PASS |
| Controls\UsingTimeLayoutRuleSettingsControl.cs | 0 | 0 | — | — | PASS |
| Converters\EnumDescriptionConverter.cs | 0 | 0 | — | — | PASS |
| manifest.yml | 0 | 0 | — | — | PASS |
| Models\AiAttachment.cs | 0 | 0 | — | — | PASS |
| Models\AiConversation.cs | 0 | 0 | — | — | PASS |
| Models\ComponentSettings\BetterCarouselContainerSettings.cs | 0 | 0 | — | — | PASS |
| Models\ComponentSettings\ClipboardContentSettings.cs | 0 | 0 | — | — | PASS |
| Models\ComponentSettings\LocalQuoteSettings.cs | 0 | 0 | — | — | PASS |
| Models\ComponentSettings\NetworkStatusSettings.cs | 0 | 0 | — | — | PASS |
| Models\ComponentSettings\NextClassDisplaySettings.cs | 0 | 0 | — | — | PASS |
| Models\ComponentSettings\ScrollingTextSettings.cs | 0 | 0 | — | — | PASS |
| Plugin.cs | 0 | 0 | — | — | PASS |
| Rules\Handlers\InTimePeriodRuleHandler.cs | 0 | 0 | — | — | PASS |
| Rules\Handlers\ProcessRunningRuleHandler.cs | 0 | 0 | — | — | PASS |
| Rules\Handlers\UsingClassPlanRuleHandler.cs | 0 | 0 | — | — | PASS |
| Rules\Handlers\UsingTimeLayoutRuleHandler.cs | 0 | 0 | — | — | PASS |
| Rules\InTimePeriodRuleSettings.cs | 0 | 0 | — | — | PASS |
| Rules\ProcessRunningRuleSettings.cs | 0 | 0 | — | — | PASS |
| Rules\UsingClassPlanRuleSettings.cs | 0 | 0 | — | — | PASS |
| Rules\UsingTimeLayoutRuleSettings.cs | 0 | 0 | — | — | PASS |
| Services\AdaptiveThemeSyncService.cs | 0 | 0 | — | — | PASS |
| Services\AiAttachmentDropService.cs | 0 | 0 | — | — | PASS |
| Services\AiAttachmentService.cs | 0 | 0 | — | — | PASS |
| Services\AiChatOperationGate.cs | 0 | 0 | — | — | PASS |
| Services\AiChatWindowService.cs | 0 | 0 | — | — | PASS |
| Services\AiConversationStore.cs | 0 | 0 | — | — | PASS |
| Services\AiPromptService.cs | 0 | 0 | — | — | PASS |
| Services\ClassIslandActionAiService.cs | 0 | 0 | — | — | PASS |
| Services\ClassIslandMemoryAutoCleanupService.cs | 0 | 0 | — | — | PASS |
| Services\ClassIslandProfileAiService.cs | 0 | 0 | — | — | PASS |
| Services\FloatingWindowService.cs | 0 | 0 | — | — | PASS |
| Services\IOpenAiCompatibleService.cs | 0 | 0 | — | — | PASS |
| Services\IProcessMemoryMaintenanceService.cs | 0 | 0 | — | — | PASS |
| Services\MainWindowTextOcclusionService.cs | 0 | 0 | — | — | PASS |
| Services\OpenAiCompatibleService.cs | 0 | 0 | — | — | PASS |
| Services\ProcessMemoryMaintenanceNativeNoOp.cs | 0 | 0 | — | — | PASS |
| Services\ProcessMemoryMaintenanceNativeWindows.cs | 0 | **2**（R13 :25，X04 :25） | — | — | PASS |
| Services\ProcessMemoryMaintenanceService.cs | 0 | 0 | — | — | PASS |
| Services\SystemShutdownMonitor.cs | 0 | **1**（R03 :5） | — | — | PASS |
| Services\SystemToolsNotificationProvider.cs | 0 | 0 | — | — | PASS |
| Services\VirtualAfterSchoolService.cs | 0 | 0 | — | — | PASS |
| Settings\ActionFlowExecutionConfirmationSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ActionInProgressTriggerSettings.cs | 0 | 0 | — | — | PASS |
| Settings\AdvancedShutdownSettings.cs | 0 | 0 | — | — | PASS |
| Settings\AutoHideMainWindowWhenOccludedActionSettings.cs | 0 | 0 | — | — | PASS |
| Settings\AutoSwitchClassIslandThemeActionSettings.cs | 0 | 0 | — | — | PASS |
| Settings\BackgroundPlayAudioSettings.cs | 0 | 0 | — | — | PASS |
| Settings\CopySettings.cs | 0 | 0 | — | — | PASS |
| Settings\DeleteSettings.cs | 0 | 0 | — | — | PASS |
| Settings\FloatingWindowTriggerSettings.cs | 0 | 0 | — | — | PASS |
| Settings\FullscreenClockSettings.cs | 0 | 0 | — | — | PASS |
| Settings\KillProcessSettings.cs | 0 | 0 | — | — | PASS |
| Settings\LoadTemporaryClassPlanSettings.cs | 0 | 0 | — | — | PASS |
| Settings\MoveSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ShortcutKeyNotificationSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ShowFloatingWindowSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ShowToastSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ShutdownSettings.cs | 0 | 0 | — | — | PASS |
| Settings\SwitchFloatingWindowThemeSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ToggleFloatingWindowLayerSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ToggleFloatingWindowProfileSettings.cs | 0 | 0 | — | — | PASS |
| Settings\ToggleWorkflowSettings.cs | 0 | 0 | — | — | PASS |
